name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
Maruti,2014,13.017002861746503,145500,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0
Skoda,2014,12.821258284620408,120000,Diesel,Individual,Manual,Second Owner,21.14,1498.0,103.52,5.0
Honda,2006,11.970350312009105,140000,Petrol,Individual,Manual,Third Owner,17.7,1497.0,78.0,5.0
Hyundai,2010,12.323855681186558,127000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0
Maruti,2007,11.77528972943772,120000,Petrol,Individual,Manual,First Owner,16.1,1298.0,88.2,5.0
Hyundai,2017,12.994530005894443,45000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.86,5.0
Maruti,2001,10.714417768752456,5000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0
Toyota,2011,12.765688433465597,90000,Diesel,Individual,Manual,First Owner,23.59,1364.0,67.1,5.0
Ford,2013,12.206072645530174,169000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.1,5.0
Renault,2014,13.122363377404328,68000,Diesel,Individual,Manual,Second Owner,19.01,1461.0,108.45,5.0
Maruti,2005,11.429543856031177,100000,Petrol,Individual,Manual,Second Owner,17.3,993.0,60.0,5.0
Maruti,2009,12.542544882151386,140000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,73.9,5.0
Maruti,2007,12.206072645530174,80000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Maruti,2009,12.100712129872347,90000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0
Mahindra,2016,12.89921982609012,40000,Petrol,Individual,Manual,First Owner,18.15,1198.0,82.0,5.0
Maruti,2016,13.564481803160529,70000,Diesel,Individual,Manual,Second Owner,24.52,1248.0,88.5,7.0
Hyundai,2012,13.122363377404328,53000,Diesel,Individual,Manual,Second Owner,23.0,1396.0,90.0,5.0
Maruti,2002,11.918390573078392,80000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.3,5.0
Hyundai,2016,13.42984807715229,100000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0
Mahindra,2011,12.066810578196666,100000,Diesel,Individual,Manual,Second Owner,21.0,1461.0,64.1,5.0
Honda,2017,13.764217263576723,50000,Diesel,Individual,Manual,First Owner,25.5,1498.0,98.6,5.0
Maruti,2015,13.17115354157376,40000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0
Maruti,2012,13.304684934198283,72000,Diesel,Individual,Manual,First Owner,21.5,1248.0,88.8,5.0
Tata,2018,13.122363377404328,35000,Petrol,Individual,Manual,First Owner,20.3,1199.0,83.81,5.0
Maruti,2016,13.262125319779487,45000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0
Maruti,2017,12.524526376648708,28000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0
Chevrolet,2013,12.611537753638338,70000,Diesel,Individual,Manual,First Owner,18.2,1248.0,73.8,7.0
Maruti,2009,12.301382825334498,120000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0
Maruti,2018,12.449014902564246,25000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.2,8.0
Maruti,2017,13.415032991367148,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
Fiat,2003,11.156250521031495,50000,Petrol,Individual,Manual,Second Owner,19.3,1248.0,82.4,
Maruti,2012,11.918390573078392,35000,Petrol,Individual,Manual,Second Owner,14.0,796.0,35.0,5.0
Hyundai,2018,13.500799813124575,2388,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.83,5.0
Maruti,2017,13.38472764187182,16200,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0
Maruti,2019,12.810388612383504,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0
Hyundai,2019,13.954402556830892,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0
Datsun,2016,11.918390573078392,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0
Tata,2011,12.959844447906553,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0
Maruti,2012,11.918390573078392,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0
Jeep,2019,14.557447902693651,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0
Honda,2018,13.737549016494562,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0
Honda,2013,12.959844447906553,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0
Maruti,2018,13.422467969854667,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0
Maruti,2018,13.617058399727497,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0
Maruti,2018,12.873902018105829,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0
Toyota,2014,14.22097566607244,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0
Toyota,2013,13.458835614025542,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0
Mercedes-Benz,2014,14.187074114396758,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0
Honda,2015,12.959844447906553,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0
Mitsubishi,2013,13.901688254205327,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0
Honda,2015,13.304684934198283,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0
Maruti,2018,13.652991628466498,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0
Honda,2015,13.17115354157376,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0
Toyota,2016,14.316285845876763,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0
Toyota,2016,13.764217263576723,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0
Audi,2013,14.375126345899696,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0
Toyota,2018,14.279244574196415,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0
Audi,2013,14.340238495183105,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0
